Date : 2025-06-19 12:57:00
Directory : /home/pes/kaban_project/kaban_system2/bot
Total : 5381 files,  -1727019 codes, -394065 comments, -186590 blanks, all -2307674 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_inspect.py                                          | Python           |       -162 |        -20 |        -29 |       -211 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_log_render.py                                       | Python           |        -81 |          0 |        -14 |        -95 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_loop.py                                             | Python           |        -33 |         -3 |         -8 |        -44 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_lru_cache.py                                        | Python           |        -18 |         -9 |         -8 |        -35 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_palettes.py                                         | Python           |       -301 |         -3 |         -6 |       -310 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_pick.py                                             | Python           |         -7 |         -8 |         -3 |        -18 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_ratio.py                                            | Python           |        -92 |        -49 |        -20 |       -161 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_spinners.py                                         | Python           |       -827 |        -20 |         -2 |       -849 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_stack.py                                            | Python           |         -8 |         -3 |         -6 |        -17 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_timer.py                                            | Python           |        -10 |         -5 |         -5 |        -20 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_windows.py                                          | Python           |        -48 |         -9 |        -16 |        -73 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/_wrap.py                                             | Python           |        -46 |          0 |        -10 |        -56 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/abc.py                                               | Python           |        -15 |        -10 |         -9 |        -34 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/align.py                                             | Python           |       -249 |        -30 |        -34 |       -313 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/ansi.py                                              | Python           |       -167 |        -33 |        -29 |       -229 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/bar.py                                               | Python           |        -62 |        -15 |        -18 |        -95 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/box.py                                               | Python           |       -197 |       -236 |        -51 |       -484 |
| /home/pes/kaban_project/kaban_system2/venv/lib64/python3.10/site-packages/pip/_vendor/rich/cells.py                                             | Python           |        -94 |        -30 |        -24 |       -148 |
